wav,words
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0000.wav,اب تو جیسے عرض کیا بس شام کی پڑی رہتی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0001.wav,پر کشیدگی ہو،
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0002.wav,شہر کے سارے معززین کشمیر جا چکے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0003.wav,ایک بات پو چوں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0004.wav,یہ مجھ پر چھوڑ دیجئے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0005.wav,اس سے پہلے لیکن انہیں سیاست دان سے لیڈر بننا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0006.wav,معمول کبھی ‘‘۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0007.wav,جنوبی افریقہ جیسے مضبوط حریف کے خلاف
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0008.wav,وزیر داخلہ کا تازہ ترین بیان اس کا ایک نمونہ ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0009.wav,مدد کے لیے استعمال ہو سکتا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0010.wav,لاہور مختلف ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0011.wav,تو پھر اپنی بلا سے کہ باد صبا چلے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0012.wav,فلموں میں سرِ فہرست رہی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0013.wav,قرآن پاک مسلمانوں کی مقدس کتاب ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0014.wav,برکینا فاسو
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0015.wav,ایک کپ چائے کا کہ دو بس۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0016.wav,گے لیکن ایسا نہ ہوا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0017.wav,مقبولیت کا تعلق عوامی مذاق سے ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0018.wav,غداروں کو الٹا لٹکا کر سر قلم کرنا چاہیۓ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0019.wav,معاویہ ابوسفیان بن حرب کے بیٹے تھے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0020.wav,جب کہ دانش تیمور، احسن خان، معمر رانا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0021.wav,جب چھپے گی اور بک سٹالوں پہ آئے گی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0022.wav,بنیادی انسانی حقوق کا احترام جمہوریت کا حصہ ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0023.wav,ادھر پاکستان میں حالیہ برسوں میں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0024.wav,مجھے اس سے کوئی فرق نہیں پڑتا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0025.wav,مجھے اپنی تقدیر پر بھروسہ ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0026.wav,پاکستانی فلم ساز سٹوڈنٹ اسکر کے لیے نامزد
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0027.wav,بنگلہ دیش کا موسم گرما کا وقت
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0028.wav,معمول کے یونیکوڈ کی چھٹائی کریں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0029.wav,مصباح الحق کا نام تیز ترین ٹیسٹ سنچری بنانے والوںمیں شامل
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0030.wav,اسی اتحاد میں دوسری مسلکی جماعتیں بھی شامل تھیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0031.wav,وہ انہیں کبھی بھلا نہیں سکیں گے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0032.wav,وُہ اس لئے کہ کبھی بد دُعا نہ کر پایا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0033.wav,عمران خان کی دعوت پہ پاکستان آئے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0034.wav,اسے گرمی دانے نکل آئے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0035.wav,میرے وطن کو اباد رکھنایوم ازادی کے لیے نیا ملی نغمہ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0036.wav,جو وائرس کے ساتھ ساتھ افواہوں کے خلاف بھی لڑ رہے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0037.wav,ہمارے ہاتھ میں نہیں ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0038.wav,پہنچنے میں ابھی بھی کئی سال
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0039.wav,ترین فلم ساز کمپنیز میں سے
